No,year,month,day,hour,season,PM_Jingan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26340,2013,1,2,11,4,60,0,61.01,1029,7,NE,54,0,0
26341,2013,1,2,12,4,34,-1,56.72,1030,7,NE,62,0,0
26342,2013,1,2,13,4,18,-2,52.7,1029,7,NE,71,0,0
26343,2013,1,2,14,4,21,-2,56.45,1031,6,NE,80,0,0
26344,2013,1,2,15,4,23,-2,60.51,1031,5,NE,90,0,0
26345,2013,1,2,16,4,23,-3,60.25,1031,4,NE,101,0,0
26346,2013,1,2,17,4,21,-4,60,1033,3,NE,111,0,0
26347,2013,1,2,18,4,25,-5,59.74,1035,2,NE,119,0,0
26348,2013,1,2,19,4,19,-6,59.48,1036,1,NE,128,0,0
26349,2013,1,2,20,4,14,-6,59.48,1037,1,NE,136,0,0
26351,2013,1,2,22,4,14,-6,63.94,1038,0,NE,150,0,0
26352,2013,1,2,23,4,16,-6,63.94,1038,0,NE,159,0,0
26353,2013,1,3,0,4,18,-6,63.94,1039,0,NE,167,0,0
26354,2013,1,3,1,4,17,-7,63.69,1039,-1,NE,174,0,0
26355,2013,1,3,2,4,17,-6,68.78,1038,-1,NE,180,0,0
26356,2013,1,3,3,4,21,-6,68.78,1039,-1,NW,5,0,0
26357,2013,1,3,4,4,24,-6,74.03,1039,-2,NW,11,0,0
26358,2013,1,3,5,4,30,-6,74.03,1039,-2,NW,16,0,0
26359,2013,1,3,6,4,32,-6,74.03,1039,-2,NW,22,0,0
26360,2013,1,3,7,4,36,-6,74.03,1039,-2,NW,28,0,0
26361,2013,1,3,8,4,40,-5,79.89,1040,-2,NW,34,0,0
26362,2013,1,3,9,4,45,-5,79.89,1040,-2,NW,40,0,0
26363,2013,1,3,10,4,50,-4,80.04,1040,-1,NW,45,0,0
26364,2013,1,3,11,4,55,-5,74.22,1040,-1,NW,51,0,0
26365,2013,1,3,12,4,58,-4,74.41,1039,0,NW,57,0,0
26366,2013,1,3,13,4,51,-5,69,1038,0,NE,6,0,0
26367,2013,1,3,14,4,43,-5,69,1038,0,NE,11,0,0
26368,2013,1,3,15,4,42,-4,74.41,1038,0,NE,16,0,0
26369,2013,1,3,16,4,46,-4,74.41,1038,0,NE,22,0,0
26370,2013,1,3,17,4,46,-4,74.41,1038,0,NE,28,0,0
26371,2013,1,3,18,4,49,-4,74.41,1038,0,NE,34,0,0
26372,2013,1,3,19,4,52,-3,80.19,1038,0,NE,39,0,0
26373,2013,1,3,20,4,48,-3,80.19,1038,0,NE,44,0,0
26374,2013,1,3,21,4,45,-3,80.19,1038,0,NE,49,0,0
26375,2013,1,3,22,4,55,-4,74.41,1037,0,NE,55,0,0
26376,2013,1,3,23,4,44,-4,74.41,1037,0,NE,61,0,0
26377,2013,1,4,0,4,36,-4,74.41,1036,0,NE,68,0,0
26378,2013,1,4,1,4,37,-4,74.41,1036,0,NE,73,0,0
26379,2013,1,4,2,4,41,-4,80.04,1035,-1,NE,79,0,0
26380,2013,1,4,3,4,31,-4,80.04,1035,-1,NE,85,0,0
26381,2013,1,4,4,4,34,-4,80.04,1034,-1,NE,91,0,0
26382,2013,1,4,5,4,42,-4,80.04,1035,-1,NE,95,0,0
26383,2013,1,4,6,4,54,-4,80.04,1034,-1,NE,100,0,0
26384,2013,1,4,7,4,53,-4,80.04,1034,-1,NE,104,0,0
26385,2013,1,4,8,4,53,-4,80.04,1034,-1,NE,109,0,0
26386,2013,1,4,9,4,58,-4,74.41,1033,0,NE,113,0,0
26387,2013,1,4,10,4,56,-4,69.21,1033,1,NE,116,0,0
26388,2013,1,4,11,4,46,-4,64.42,1032,2,NE,119,0,0
26389,2013,1,4,12,4,53,-3,69.43,1032,2,NW,3,0,0
26390,2013,1,4,13,4,54,-3,64.66,1030,3,NE,3,0,0
26391,2013,1,4,14,4,53,-3,64.66,1029,3,NE,7,0,0
26392,2013,1,4,15,4,52,-3,64.66,1029,3,NE,10,0,0
26393,2013,1,4,16,4,47,-2,74.78,1029,2,NE,14,0,0
26394,2013,1,4,17,4,47,-1,86.47,1029,1,NE,19,0.1,0.1
26395,2013,1,4,18,4,49,0,93.02,1029,1,NE,23,0.2,0.3
26396,2013,1,4,19,4,36,0,93.02,1029,1,NE,26,0.1,0.4
26397,2013,1,4,20,4,35,0,93.02,1029,1,NE,29,0.1,0.5
26398,2013,1,4,21,4,40,0,93.02,1029,1,NW,2,0,0
26399,2013,1,4,22,4,46,-1,86.47,1028,1,NE,2,0.1,0.1
26400,2013,1,4,23,4,56,0,93.02,1028,1,NW,2,0.1,0.2
26401,2013,1,5,0,4,54,-1,92.96,1028,0,NW,5,0.1,0.3
26402,2013,1,5,1,4,49,0,100,1028,0,NW,8,0,0
26403,2013,1,5,2,4,54,0,100,1028,0,NE,3,0.1,0.1
26404,2013,1,5,3,4,54,0,93.02,1028,1,NE,6,0,0
26405,2013,1,5,4,4,45,0,93.02,1027,1,NE,10,0,0
26406,2013,1,5,5,4,39,0,93.02,1027,1,NE,14,0,0
26409,2013,1,5,8,4,44,-1,86.47,1028,1,NE,26,0,0
26411,2013,1,5,10,4,46,-1,86.47,1028,1,NE,34,0,0
26412,2013,1,5,11,4,50,-1,80.49,1029,2,NE,37,0,0
26413,2013,1,5,12,4,60,-1,74.96,1028,3,NE,41,0,0
26414,2013,1,5,13,4,46,0,75.14,1027,4,NE,45,0,0
26415,2013,1,5,14,4,43,-2,64.9,1026,4,NE,49,0,0
26416,2013,1,5,15,4,57,-2,64.9,1026,4,NE,53,0,0
26417,2013,1,5,16,4,62,-2,69.64,1026,3,NE,58,0,0
26418,2013,1,5,17,4,63,-2,69.64,1026,3,NE,62,0,0
26419,2013,1,5,18,4,54,-2,69.64,1027,3,NE,65,0,0
26420,2013,1,5,19,4,42,-2,69.64,1027,3,NE,69,0,0
26421,2013,1,5,20,4,35,-2,69.64,1028,3,NE,73,0,0
26422,2013,1,5,21,4,29,-3,64.66,1028,3,NE,77,0,0
26423,2013,1,5,22,4,30,-3,64.66,1027,3,NE,81,0,0
26424,2013,1,5,23,4,29,-4,60,1027,3,NE,86,0,0
26425,2013,1,6,0,4,32,-3,69.43,1027,2,NE,89,0,0
26433,2013,1,6,8,4,73,-2,80.34,1028,1,NE,3,0,0
26434,2013,1,6,9,4,76,-2,74.78,1028,2,NE,5,0,0
26435,2013,1,6,10,4,91,-1,80.49,1029,2,NW,4,0,0
26436,2013,1,6,11,4,95,-3,69.43,1029,2,NW,8,0,0
26437,2013,1,6,12,4,68,-4,64.42,1027,2,NW,12,0,0
26438,2013,1,6,13,4,83,-5,59.74,1027,2,NW,15,0,0
26439,2013,1,6,14,4,101,-5,55.63,1026,3,NW,19,0,0
26440,2013,1,6,15,4,99,-6,51.56,1026,3,NW,22,0,0
26441,2013,1,6,16,4,104,-5,55.63,1026,3,NE,3,0,0
26442,2013,1,6,17,4,107,-6,51.56,1026,3,NE,6,0,0
26443,2013,1,6,18,4,99,-6,51.56,1026,3,NE,9,0,0
26444,2013,1,6,19,4,107,-5,55.63,1027,3,NE,11,0,0
26445,2013,1,6,20,4,116,-4,60,1027,3,NW,2,0,0
26446,2013,1,6,21,4,116,-4,60,1027,3,NW,5,0,0
26447,2013,1,6,22,4,94,-3,64.66,1026,3,NE,2,0,0
26448,2013,1,6,23,4,94,-2,69.64,1026,3,NE,5,0,0
26449,2013,1,7,0,4,106,-2,69.64,1026,3,NW,2,0,0
26450,2013,1,7,1,4,120,-2,69.64,1026,3,NW,5,0,0
26451,2013,1,7,2,4,116,-2,74.78,1026,2,NW,8,0,0
26452,2013,1,7,3,4,126,-1,80.49,1026,2,NW,11,0.1,0.1
26453,2013,1,7,4,4,138,-1,80.49,1026,2,NW,13,0,0
26454,2013,1,7,5,4,147,-1,80.49,1025,2,NE,3,0,0
26455,2013,1,7,6,4,140,-1,80.49,1026,2,NE,6,0,0
26456,2013,1,7,7,4,134,-1,80.49,1026,2,NE,9,0,0
26457,2013,1,7,8,4,114,-1,80.49,1026,2,NE,10,0,0
26458,2013,1,7,9,4,111,-1,74.96,1026,3,cv,1,0.1,0.1
26461,2013,1,7,12,4,125,1,93.08,1025,2,SW,6,0.2,0.7
26462,2013,1,7,13,4,101,0,86.58,1024,2,NW,3,0,0
26463,2013,1,7,14,4,3,1,93.08,1024,2,NW,5,0.1,0.1
26464,2013,1,7,15,4,114,1,93.08,1024,2,NW,7,0,0
26465,2013,1,7,16,4,140,0,86.58,1024,2,NE,3,0,0
26466,2013,1,7,17,4,126,0,86.58,1024,2,cv,0,0,0
26467,2013,1,7,18,4,137,0,86.58,1024,2,cv,1,0,0
26469,2013,1,7,20,4,152,0,86.58,1025,2,NW,3,0,0
26470,2013,1,7,21,4,169,1,93.08,1025,2,NW,5,0,0
26471,2013,1,7,22,4,217,1,93.08,1025,2,NW,7,0,0
26472,2013,1,7,23,4,221,1,93.08,1025,2,NW,9,0,0
26473,2013,1,8,0,4,221,1,93.08,1025,2,NW,12,0,0
26475,2013,1,8,2,4,140,-1,80.49,1025,2,NW,19,0,0
26476,2013,1,8,3,4,141,-1,80.49,1025,2,NW,22,0,0
26477,2013,1,8,4,4,148,-2,74.78,1024,2,NW,25,0,0
26478,2013,1,8,5,4,154,-3,69.43,1025,2,NW,27,0,0
26479,2013,1,8,6,4,160,-4,64.42,1025,2,NW,30,0,0
26480,2013,1,8,7,4,160,-4,64.42,1026,2,NW,33,0,0
26481,2013,1,8,8,4,148,-3,69.43,1026,2,NW,36,0,0
26483,2013,1,8,10,4,102,-1,69.85,1026,4,NE,8,0,0
26485,2013,1,8,12,4,99,-2,52.7,1025,7,NE,15,0,0
26486,2013,1,8,13,4,91,-2,49.22,1024,8,NE,18,0,0
26487,2013,1,8,14,4,92,-1,52.98,1024,8,NE,21,0,0
26488,2013,1,8,15,4,90,0,56.99,1024,8,NE,25,0,0
26489,2013,1,8,16,4,76,1,65.59,1024,7,NE,30,0,0
26491,2013,1,8,18,4,49,1,70.27,1025,6,NE,40,0,0
26492,2013,1,8,19,4,56,0,70.06,1025,5,NE,44,0,0
26493,2013,1,8,20,4,51,0,70.06,1026,5,NE,48,0,0
26494,2013,1,8,21,4,50,0,75.14,1026,4,NE,52,0,0
26495,2013,1,8,22,4,67,0,75.14,1026,4,NE,56,0,0
26496,2013,1,8,23,4,68,0,75.14,1027,4,NE,59,0,0
26497,2013,1,9,0,4,71,0,75.14,1027,4,NE,63,0,0
26498,2013,1,9,1,4,69,1,80.78,1027,4,NE,67,0,0
26499,2013,1,9,2,4,67,1,80.78,1028,4,NE,70,0,0
26500,2013,1,9,3,4,73,0,80.63,1028,3,NW,3,0,0
26501,2013,1,9,4,4,70,0,80.63,1028,3,NE,5,0,0
26502,2013,1,9,5,4,74,-1,74.96,1027,3,NE,10,0,0
26503,2013,1,9,6,4,62,-2,69.64,1028,3,NE,14,0,0
26504,2013,1,9,7,4,63,-2,74.78,1029,2,NE,17,0,0
26506,2013,1,9,9,4,114,-2,60.51,1029,5,NE,26,0,0
26507,2013,1,9,10,4,131,-1,60.76,1029,6,NE,32,0,0
26508,2013,1,9,11,4,131,0,65.36,1029,6,NE,37,0,0
26510,2013,1,9,13,4,127,-1,56.72,1027,7,NE,46,0,0
26512,2013,1,9,15,4,108,-2,52.7,1027,7,NE,55,0,0
26513,2013,1,9,16,4,97,-1,60.76,1028,6,NE,61,0,0
26516,2013,1,9,19,4,87,-2,69.64,1029,3,NE,79,0,0
26517,2013,1,9,20,4,79,-3,64.66,1030,3,NE,84,0,0
26518,2013,1,9,21,4,69,-2,69.64,1030,3,NE,88,0,0
26519,2013,1,9,22,4,56,-3,69.43,1030,2,NE,93,0,0
26520,2013,1,9,23,4,52,-3,74.59,1030,1,NE,97,0,0
26521,2013,1,10,0,4,48,-3,80.19,1030,0,NE,100,0,0
26522,2013,1,10,1,4,44,-3,86.26,1030,-1,NE,104,0,0
26523,2013,1,10,2,4,45,-4,80.04,1031,-1,NE,107,0,0
26524,2013,1,10,3,4,51,-4,86.15,1030,-2,NE,110,0,0
26525,2013,1,10,4,4,56,-4,86.15,1030,-2,NE,113,0,0
26526,2013,1,10,5,4,55,-4,86.15,1030,-2,NE,116,0,0
26527,2013,1,10,6,4,46,-4,86.15,1031,-2,NE,118,0,0
26529,2013,1,10,8,4,28,-3,80.19,1032,0,NE,122,0,0
26530,2013,1,10,9,4,29,-4,64.42,1032,2,NE,125,0,0
26531,2013,1,10,10,4,33,-6,48.04,1032,4,NE,128,0,0
26532,2013,1,10,11,4,37,-6,44.8,1031,5,NE,131,0,0
26533,2013,1,10,12,4,41,-6,41.79,1030,6,NE,134,0,0
26534,2013,1,10,13,4,47,-10,30.61,1030,6,NE,137,0,0
26536,2013,1,10,15,4,60,-6,41.79,1030,6,NE,145,0,0
26537,2013,1,10,16,4,65,-5,48.34,1030,5,NE,149,0,0
26538,2013,1,10,17,4,70,-5,48.34,1030,5,NE,153,0,0
26539,2013,1,10,18,4,68,-4,55.91,1030,4,NE,157,0,0
26540,2013,1,10,19,4,50,-4,55.91,1030,4,NE,160,0,0
26542,2013,1,10,21,4,40,-2,74.78,1031,2,SE,1,0,0
26543,2013,1,10,22,4,34,-3,69.43,1030,2,SE,3,0,0
26544,2013,1,10,23,4,28,-3,69.43,1030,2,SE,5,0,0
26545,2013,1,11,0,4,23,-3,69.43,1030,2,NE,2,0,0
26546,2013,1,11,1,4,26,-4,74.41,1030,0,cv,0,0,0
26553,2013,1,11,8,4,49,-1,86.47,1029,1,cv,0,0,0
26554,2013,1,11,9,4,52,0,70.06,1029,5,cv,1,0,0
26556,2013,1,11,11,4,42,0,61.01,1027,7,SE,9,0,0
26557,2013,1,11,12,4,45,0,56.99,1027,8,SW,5,0,0
26558,2013,1,11,13,4,45,0,53.26,1026,9,SW,9,0,0
26559,2013,1,11,14,4,35,0,53.26,1026,9,SW,15,0,0
26560,2013,1,11,15,4,37,1,53.53,1026,10,SW,20,0,0
26562,2013,1,11,17,4,36,1,61.26,1026,8,SE,7,0,0
26563,2013,1,11,18,4,37,1,61.26,1026,8,SE,11,0,0
26564,2013,1,11,19,4,49,1,65.59,1026,7,SE,13,0,0
26565,2013,1,11,20,4,53,2,70.47,1026,7,SE,15,0,0
26566,2013,1,11,21,4,51,2,75.49,1026,6,SE,18,0,0
26567,2013,1,11,22,4,53,1,75.32,1026,5,SW,3,0,0
26568,2013,1,11,23,4,55,1,75.32,1026,5,SW,5,0,0
26569,2013,1,12,0,4,61,0,80.63,1027,3,SW,7,0,0
26570,2013,1,12,1,4,69,0,86.58,1027,2,cv,1,0,0
26571,2013,1,12,2,4,74,1,86.68,1027,3,cv,1,0,0
26572,2013,1,12,3,4,74,-1,86.47,1027,1,SW,1,0,0
26573,2013,1,12,4,4,89,-1,86.47,1027,1,SW,3,0,0
26574,2013,1,12,5,4,106,1,93.08,1027,2,cv,1,0,0
26575,2013,1,12,6,4,127,0,100,1027,0,SW,2,0,0
26578,2013,1,12,9,4,204,3,93.19,1028,4,cv,1,0,0
26579,2013,1,12,10,4,224,2,75.49,1027,6,NW,2,0,0
26580,2013,1,12,11,4,236,1,65.59,1026,7,NE,3,0,0
26581,2013,1,12,12,4,223,1,57.25,1025,9,NE,6,0,0
26582,2013,1,12,13,4,170,1,53.53,1025,10,NE,7,0,0
26583,2013,1,12,14,4,166,1,50.08,1024,11,cv,1,0,0
26584,2013,1,12,15,4,194,-1,43.31,1023,11,NE,3,0,0
26585,2013,1,12,16,4,195,-1,43.31,1024,11,NE,5,0,0
26586,2013,1,12,17,4,192,0,49.8,1024,10,SE,2,0,0
26588,2013,1,12,19,4,183,0,56.99,1023,8,NE,3,0,0
26589,2013,1,12,20,4,183,1,61.26,1023,8,NE,5,0,0
26590,2013,1,12,21,4,170,2,65.82,1023,8,SE,2,0,0
26591,2013,1,12,22,4,166,3,70.67,1023,8,NE,2,0,0
26592,2013,1,12,23,4,166,4,81.2,1023,7,NE,4,0,0
26594,2013,1,13,1,4,122,5,87.09,1022,7,NE,9,2.7,3.6
26595,2013,1,13,2,4,101,5,93.29,1022,6,NE,11,3,6.6
26596,2013,1,13,3,4,90,6,100,1021,6,NE,13,2.9,9.5
26597,2013,1,13,4,4,56,6,100,1021,6,NE,14,2,11.5
26598,2013,1,13,5,4,34,6,93.35,1021,7,SE,2,1.7,13.2
26599,2013,1,13,6,4,25,6,100,1021,6,NE,2,1.5,14.7
26600,2013,1,13,7,4,30,5,93.29,1021,6,NE,4,1.9,16.6
26601,2013,1,13,8,4,32,6,93.35,1021,7,NE,6,1.2,17.8
26602,2013,1,13,9,4,34,6,93.35,1021,7,NE,9,1,18.8
26603,2013,1,13,10,4,35,6,93.35,1021,7,NE,13,0.7,19.5
26604,2013,1,13,11,4,32,5,87.09,1021,7,NE,18,0.6,20.1
26605,2013,1,13,12,4,25,5,87.09,1020,7,NE,22,0,0
26607,2013,1,13,14,4,26,5,87.09,1020,7,NE,32,0,0
26608,2013,1,13,15,4,26,5,87.09,1020,7,NE,36,0,0
26609,2013,1,13,16,4,29,4,81.2,1020,7,NE,40,0,0
26610,2013,1,13,17,4,30,4,81.2,1020,7,NE,42,0,0
26611,2013,1,13,18,4,40,4,81.2,1021,7,NE,45,0,0
26612,2013,1,13,19,4,61,4,86.99,1021,6,NE,48,0,0
26614,2013,1,13,21,4,62,3,93.19,1021,4,NE,2,0,0
26615,2013,1,13,22,4,68,4,93.24,1022,5,NW,4,0,0
26616,2013,1,13,23,4,76,4,93.24,1022,5,NW,8,0,0
26617,2013,1,14,0,4,79,4,93.24,1022,5,NW,11,0,0
26618,2013,1,14,1,4,97,3,93.19,1022,4,NW,14,0,0
26619,2013,1,14,2,4,106,2,93.13,1023,3,NW,16,0,0
26620,2013,1,14,3,4,112,3,93.19,1023,4,NW,20,0,0
26621,2013,1,14,4,4,122,2,93.13,1023,3,NW,22,0,0
26622,2013,1,14,5,4,130,2,93.13,1023,3,NW,24,0,0
26623,2013,1,14,6,4,126,1,93.08,1024,2,NW,26,0,0
26625,2013,1,14,8,4,142,3,93.19,1025,4,NW,31,0,0
26626,2013,1,14,9,4,151,4,93.24,1025,5,NE,3,0,0
26627,2013,1,14,10,4,144,3,75.67,1025,7,NW,3,0,0
26628,2013,1,14,11,4,131,3,75.67,1025,7,NE,5,0,0
26629,2013,1,14,12,4,115,3,70.67,1024,8,NE,9,0,0
26630,2013,1,14,13,4,117,2,61.51,1024,9,NW,6,0,0
26631,2013,1,14,14,4,124,2,61.51,1024,9,NE,4,0,0
26632,2013,1,14,15,4,125,2,61.51,1024,9,NE,8,0,0
26633,2013,1,14,16,4,141,1,61.26,1025,8,NE,12,0,0
26634,2013,1,14,17,4,149,1,70.27,1026,6,NE,15,0,0
26635,2013,1,14,18,4,150,1,70.27,1026,6,NE,19,0,0
26636,2013,1,14,19,4,151,1,75.32,1026,5,NE,22,0,0
26637,2013,1,14,20,4,119,1,75.32,1026,5,NE,26,0,0
26638,2013,1,14,21,4,104,0,70.06,1026,5,NE,29,0,0
26639,2013,1,14,22,4,92,0,75.14,1026,4,NE,32,0,0
26643,2013,1,15,2,4,79,-1,86.47,1027,1,SW,1,0,0
26644,2013,1,15,3,4,87,0,86.58,1027,2,cv,0,0,0
26645,2013,1,15,4,4,83,1,93.08,1027,2,NW,2,0,0
26646,2013,1,15,5,4,84,1,86.68,1027,3,cv,1,0,0
26647,2013,1,15,6,4,103,0,93.02,1026,1,cv,1,0,0
26648,2013,1,15,7,4,110,0,93.02,1026,1,cv,2,0,0
26650,2013,1,15,9,4,111,2,80.92,1027,5,SW,3,0,0
26651,2013,1,15,10,4,99,2,70.47,1026,7,SW,8,0,0
26652,2013,1,15,11,4,93,2,65.82,1025,8,SE,5,0,0
26653,2013,1,15,12,4,92,2,61.51,1023,9,SE,11,0,0
26654,2013,1,15,13,4,81,2,57.51,1023,10,SE,18,0,0
26655,2013,1,15,14,4,70,2,57.51,1022,10,SW,6,0,0
26658,2013,1,15,17,4,86,3,66.05,1023,9,SW,17,0,0
26659,2013,1,15,18,4,99,3,70.67,1023,8,SW,19,0,0
26660,2013,1,15,19,4,110,3,70.67,1023,8,SW,22,0,0
26662,2013,1,15,21,4,132,4,81.2,1024,7,SW,29,0,0
26663,2013,1,15,22,4,169,3,81.06,1024,6,NW,3,0,0
26664,2013,1,15,23,4,227,3,86.89,1024,5,NW,6,0,0
26665,2013,1,16,0,4,218,2,86.79,1025,4,NW,9,0,0
26666,2013,1,16,1,4,220,2,86.79,1025,4,NW,13,0,0
26667,2013,1,16,2,4,229,2,80.92,1026,5,NW,17,0,0
26668,2013,1,16,3,4,242,3,86.89,1026,5,NW,21,0,0
26669,2013,1,16,4,4,227,2,80.92,1026,5,NW,27,0,0
26670,2013,1,16,5,4,220,1,75.32,1027,5,NW,33,0,0
26671,2013,1,16,6,4,207,0,75.14,1027,4,NW,38,0,0
26672,2013,1,16,7,4,225,-1,69.85,1027,4,NW,42,0,0
26673,2013,1,16,8,4,233,-1,69.85,1028,4,NW,47,0,0
26674,2013,1,16,9,4,241,-1,69.85,1029,4,NW,52,0,0
26675,2013,1,16,10,4,234,-1,69.85,1029,4,NW,57,0,0
26676,2013,1,16,11,4,227,-1,69.85,1029,4,NW,62,0,0
26677,2013,1,16,12,4,202,-2,64.9,1028,4,NE,5,0,0
26678,2013,1,16,13,4,196,-2,64.9,1028,4,NW,5,0,0
26679,2013,1,16,14,4,213,-2,64.9,1028,4,NE,5,0,0
26680,2013,1,16,15,4,222,-1,69.85,1028,4,NE,11,0,0
26681,2013,1,16,16,4,217,-1,69.85,1029,4,NE,17,0,0
26682,2013,1,16,17,4,201,-2,64.9,1029,4,NE,23,0,0
26683,2013,1,16,18,4,152,-1,69.85,1030,4,NE,27,0,0
26684,2013,1,16,19,4,88,-2,64.9,1030,4,NE,32,0,0
26685,2013,1,16,20,4,72,-2,69.64,1030,3,NE,37,0,0
26686,2013,1,16,21,4,60,-2,69.64,1032,3,NW,5,0,0
26687,2013,1,16,22,4,58,-2,69.64,1032,3,NE,6,0,0
26688,2013,1,16,23,4,63,-2,69.64,1032,3,NE,11,0,0
26689,2013,1,17,0,4,60,-3,64.66,1032,3,NE,17,0,0
26690,2013,1,17,1,4,62,-3,64.66,1033,3,NE,23,0,0
26691,2013,1,17,2,4,69,-3,64.66,1033,3,NE,30,0,0
26692,2013,1,17,3,4,78,-3,64.66,1033,3,NE,36,0,0
26693,2013,1,17,4,4,79,-3,69.43,1033,2,NE,41,0,0
26694,2013,1,17,5,4,72,-3,69.43,1033,2,NE,47,0,0
26695,2013,1,17,6,4,65,-3,69.43,1034,2,NE,53,0,0
26696,2013,1,17,7,4,67,-4,64.42,1035,2,NE,60,0,0
26697,2013,1,17,8,4,59,-4,64.42,1036,2,NE,67,0,0
26698,2013,1,17,9,4,53,-4,64.42,1036,2,NW,7,0,0
26699,2013,1,17,10,4,42,-4,60,1037,3,NW,13,0,0
26700,2013,1,17,11,4,36,-4,55.91,1036,4,NE,7,0,0
26701,2013,1,17,12,4,32,-4,55.91,1035,4,NW,6,0,0
26702,2013,1,17,13,4,39,-6,48.04,1035,4,NW,13,0,0
26703,2013,1,17,14,4,35,-5,48.34,1035,5,NE,7,0,0
26704,2013,1,17,15,4,31,-6,51.56,1035,3,NE,15,0,0
26705,2013,1,17,16,4,32,-5,55.63,1036,3,NE,22,0,0
26706,2013,1,17,17,4,42,-5,55.63,1036,3,NE,28,0,0
26707,2013,1,17,18,4,46,-5,59.74,1037,2,NE,34,0,0
26708,2013,1,17,19,4,46,-5,64.18,1037,1,NE,41,0,0
26729,2013,1,18,16,4,108,-8,38.39,1031,5,SE,2,0,0
26730,2013,1,18,17,4,113,-6,48.04,1031,4,SW,2,0,0
26731,2013,1,18,18,4,127,-4,60,1032,3,SW,5,0,0
26732,2013,1,18,19,4,130,-4,64.42,1032,2,SW,8,0,0
26733,2013,1,18,20,4,126,-4,64.42,1032,2,SW,10,0,0
26734,2013,1,18,21,4,111,-5,64.18,1031,1,SE,3,0,0
26735,2013,1,18,22,4,102,-4,69.21,1031,1,SE,5,0,0
26736,2013,1,18,23,4,97,-3,74.59,1031,1,SE,7,0,0
26737,2013,1,19,0,4,99,-3,74.59,1031,1,SE,9,0,0
26738,2013,1,19,1,4,104,-3,80.19,1030,0,SE,11,0,0
26739,2013,1,19,2,4,103,-2,86.37,1029,0,SE,14,0,0
26740,2013,1,19,3,4,104,-2,86.37,1029,0,SE,16,0,0
26741,2013,1,19,4,4,106,-2,92.91,1028,-1,SE,18,0,0
26742,2013,1,19,5,4,100,-2,86.37,1029,0,SE,19,0,0
26743,2013,1,19,6,4,98,-2,92.91,1029,-1,SE,20,0,0
26744,2013,1,19,7,4,99,-1,92.96,1029,0,SE,21,0,0
26745,2013,1,19,8,4,110,0,93.02,1029,1,SE,22,0,0
26746,2013,1,19,9,4,125,1,75.32,1030,5,SE,24,0,0
26747,2013,1,19,10,4,109,-1,56.72,1030,7,SE,27,0,0
26748,2013,1,19,11,4,100,-2,49.22,1029,8,SE,31,0,0
26749,2013,1,19,12,4,99,-2,43.01,1028,10,SE,35,0,0
26750,2013,1,19,13,4,78,-4,34.66,1027,11,SW,3,0,0
26751,2013,1,19,14,4,64,-1,43.31,1026,11,SE,4,0,0
26752,2013,1,19,15,4,57,0,46.58,1026,11,SE,9,0,0
