No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
41409,2014,9,22,8,3,20,88.45,1013,22,NE,243,0,0
41411,2014,9,22,10,3,19,73.67,1013,24,NE,260,0,0
41412,2014,9,22,11,3,20,78.39,1012,24,NE,268,0.2,0.2
41413,2014,9,22,12,3,21,88.54,1011,23,NE,276,0.3,0.5
41416,2014,9,22,15,3,21,83.37,1010,24,NE,298,0,0
41417,2014,9,22,16,3,21,83.37,1010,24,NE,305,0.6,0.6
41418,2014,9,22,17,3,22,94.12,1009,23,NE,312,0,0
41419,2014,9,22,18,3,22,94.12,1009,23,NE,320,0.3,0.3
41420,2014,9,22,19,3,22,94.12,1009,23,NE,326,0.1,0.4
41421,2014,9,22,20,3,22,88.62,1009,24,NE,333,0.4,0.8
41422,2014,9,22,21,3,22,88.62,1009,24,NE,339,0,0
41423,2014,9,22,22,3,22,88.62,1009,24,NE,345,0.1,0.1
41424,2014,9,22,23,3,22,88.62,1008,24,NE,352,0.5,0.6
41426,2014,9,23,1,3,23,100,1006,23,NE,366,1.8,8.3
41428,2014,9,23,3,3,23,94.16,1005,24,NE,8,2.8,12.1
41430,2014,9,23,5,3,23,94.16,1004,24,NE,25,14.2,34.9
41431,2014,9,23,6,3,23,94.16,1004,24,NE,34,11.1,46
41432,2014,9,23,7,3,24,100,1004,24,NE,44,4.3,50.3
41433,2014,9,23,8,3,23,94.16,1003,24,NE,53,1,51.3
41434,2014,9,23,9,3,23,88.7,1003,25,NE,61,1.4,52.7
41435,2014,9,23,10,3,23,94.16,1003,24,NE,66,0.5,53.2
41436,2014,9,23,11,3,24,100,1002,24,NE,71,0.4,53.6
41437,2014,9,23,12,3,24,100,1001,24,NE,76,0.6,54.2
41438,2014,9,23,13,3,24,94.2,1001,25,NW,6,0,0
41439,2014,9,23,14,3,23,94.16,1001,24,NW,12,0.3,0.3
41440,2014,9,23,15,3,23,94.16,1001,24,NW,17,0.5,0.8
41441,2014,9,23,16,3,23,94.16,1001,24,NW,22,0,0
41442,2014,9,23,17,3,23,94.16,1002,24,NW,27,0.1,0.1
41443,2014,9,23,18,3,23,94.16,1003,24,NW,33,0,0
41444,2014,9,23,19,3,23,94.16,1004,24,NW,39,0.5,0.5
41445,2014,9,23,20,3,23,94.16,1005,24,NW,45,0.1,0.6
41446,2014,9,23,21,3,23,100,1006,23,NW,52,0.1,0.7
41447,2014,9,23,22,3,22,94.12,1006,23,NW,58,0,0
41448,2014,9,23,23,3,22,94.12,1007,23,NW,65,0.1,0.1
41449,2014,9,24,0,3,22,94.12,1007,23,NW,72,0,0
41450,2014,9,24,1,3,22,94.12,1008,23,NW,77,0.2,0.2
41451,2014,9,24,2,3,22,100,1008,22,NW,83,0.3,0.5
41452,2014,9,24,3,3,22,100,1008,22,NW,89,0.1,0.6
41453,2014,9,24,4,3,21,94.07,1009,22,NW,95,0.2,0.8
41454,2014,9,24,5,3,21,94.07,1010,22,NW,101,0,0
41455,2014,9,24,6,3,21,94.07,1010,22,NW,106,0.5,0.5
41456,2014,9,24,7,3,22,100,1011,22,NW,110,0.2,0.7
41457,2014,9,24,8,3,22,100,1012,22,NW,115,0.1,0.8
41458,2014,9,24,9,3,21,88.54,1013,23,NW,122,0,0
41459,2014,9,24,10,3,21,83.37,1013,24,NW,128,0,0
41460,2014,9,24,11,3,22,78.68,1013,26,NW,133,0,0
41461,2014,9,24,12,3,21,83.37,1012,24,NW,139,0,0
41463,2014,9,24,14,3,21,74.02,1012,26,NW,149,0,0
41464,2014,9,24,15,3,21,78.53,1012,25,NW,152,0,0
41465,2014,9,24,16,3,21,74.02,1012,26,NW,156,0,0
41466,2014,9,24,17,3,20,73.84,1013,25,NE,4,0,0
41467,2014,9,24,18,3,19,73.67,1013,24,NE,8,0,0
41468,2014,9,24,19,3,19,78.24,1013,23,NE,12,0,0
41469,2014,9,24,20,3,19,78.24,1014,23,NE,16,0,0
41470,2014,9,24,21,3,19,78.24,1015,23,NE,19,0,0
41471,2014,9,24,22,3,19,83.13,1015,22,NE,22,0,0
41472,2014,9,24,23,3,19,83.13,1015,22,NE,24,0,0
41474,2014,9,25,1,3,18,83.01,1015,21,NE,26,0,0
41475,2014,9,25,2,3,18,88.28,1015,20,NE,27,0,0
41476,2014,9,25,3,3,18,88.28,1015,20,NE,28,0,0
41477,2014,9,25,4,3,18,88.28,1015,20,NW,2,0,0
41478,2014,9,25,5,3,18,93.94,1015,19,cv,0,0,0
41479,2014,9,25,6,3,19,100,1015,19,NW,1,0,0
41480,2014,9,25,7,3,20,94.03,1016,21,NE,2,0,0
41481,2014,9,25,8,3,21,83.37,1016,24,NW,2,0,0
41482,2014,9,25,9,3,20,73.84,1016,25,NE,4,0,0
41483,2014,9,25,10,3,17,57.69,1016,26,NE,7,0,0
41484,2014,9,25,11,3,17,54.39,1016,27,cv,3,0,0
41485,2014,9,25,12,3,16,51.05,1015,27,NE,3,0,0
41486,2014,9,25,13,3,18,54.65,1015,28,NE,5,0,0
41487,2014,9,25,14,3,18,54.65,1014,28,cv,2,0,0
41488,2014,9,25,15,3,16,48.15,1014,28,NE,4,0,0
41489,2014,9,25,16,3,17,54.39,1014,27,NE,8,0,0
41490,2014,9,25,17,3,18,61.44,1014,26,NE,12,0,0
41491,2014,9,25,18,3,18,61.44,1014,26,NE,16,0,0
41492,2014,9,25,19,3,19,69.4,1015,25,SE,4,0,0
41493,2014,9,25,20,3,19,69.4,1015,25,NE,2,0,0
41494,2014,9,25,21,3,19,73.67,1015,24,SE,3,0,0
41495,2014,9,25,22,3,19,73.67,1015,24,SE,6,0,0
41496,2014,9,25,23,3,20,83.25,1015,23,SE,9,0,0
41497,2014,9,26,0,3,20,83.25,1015,23,SE,11,0,0
41498,2014,9,26,1,3,20,88.45,1014,22,SE,13,0,0
41499,2014,9,26,2,3,20,88.45,1014,22,SE,14,0,0
41500,2014,9,26,3,3,20,88.45,1014,22,SE,16,0,0
41501,2014,9,26,4,3,20,88.45,1014,22,SE,18,0,0
41502,2014,9,26,5,3,20,88.45,1014,22,SE,20,0,0
41503,2014,9,26,6,3,20,88.45,1014,22,SE,23,0,0
41504,2014,9,26,7,3,20,83.25,1014,23,SE,25,0,0
41505,2014,9,26,8,3,20,78.39,1015,24,SE,29,0,0
41506,2014,9,26,9,3,20,69.6,1015,26,SE,33,0,0
41508,2014,9,26,11,3,19,65.41,1014,26,SE,41,0,0
41511,2014,9,26,14,3,18,54.65,1013,28,SE,52,0,0
41512,2014,9,26,15,3,18,54.65,1013,28,SE,57,0,0
41513,2014,9,26,16,3,19,61.67,1013,27,SE,63,0,0
41514,2014,9,26,17,3,20,69.6,1013,26,SE,68,0,0
41515,2014,9,26,18,3,20,73.84,1013,25,SE,73,0,0
41516,2014,9,26,19,3,20,78.39,1013,24,SE,78,0,0
41517,2014,9,26,20,3,20,78.39,1014,24,SE,83,0,0
41518,2014,9,26,21,3,20,83.25,1014,23,SE,87,0,0
41519,2014,9,26,22,3,20,83.25,1014,23,SE,90,0,0
41520,2014,9,26,23,3,20,83.25,1014,23,SE,93,0,0
41522,2014,9,27,1,3,20,83.25,1014,23,SE,100,0,0
41523,2014,9,27,2,3,21,88.54,1013,23,SE,103,0,0
41524,2014,9,27,3,3,21,88.54,1013,23,SE,106,0,0
41525,2014,9,27,4,3,20,83.25,1014,23,SE,109,0,0
41526,2014,9,27,5,3,20,83.25,1014,23,SE,113,0,0
41527,2014,9,27,6,3,20,83.25,1014,23,SE,116,0,0
41528,2014,9,27,7,3,21,83.37,1015,24,SE,119,0,0
41529,2014,9,27,8,3,22,88.62,1015,24,SE,123,0,0
41530,2014,9,27,9,3,22,78.68,1015,26,SE,127,0,0
41531,2014,9,27,10,3,22,74.19,1015,27,SE,131,0,0
41532,2014,9,27,11,3,22,69.98,1015,28,SE,135,0,0
41533,2014,9,27,12,3,22,66.04,1014,29,SE,138,0,0
41534,2014,9,27,13,3,21,62.13,1014,29,SE,142,0,0
41535,2014,9,27,14,3,22,66.04,1013,29,SE,145,0,0
41536,2014,9,27,15,3,21,58.65,1013,30,SE,149,0,0
41537,2014,9,27,16,3,21,62.13,1013,29,SE,153,0,0
41538,2014,9,27,17,3,21,65.83,1013,28,SE,158,0,0
41539,2014,9,27,18,3,21,74.02,1013,26,SE,164,0,0
41540,2014,9,27,19,3,21,78.53,1014,25,SE,170,0,0
41541,2014,9,27,20,3,21,78.53,1014,25,SE,175,0,0
41543,2014,9,27,22,3,21,83.37,1015,24,SE,183,0,0
41544,2014,9,27,23,3,21,83.37,1014,24,SE,188,0,0
41545,2014,9,28,0,3,21,83.37,1014,24,SE,192,0,0
41547,2014,9,28,2,3,21,88.54,1014,23,SE,201,0,0
41548,2014,9,28,3,3,21,88.54,1013,23,SE,205,0,0
41549,2014,9,28,4,3,20,83.25,1013,23,SE,209,0,0
41550,2014,9,28,5,3,20,83.25,1014,23,SE,213,0,0
41551,2014,9,28,6,3,21,88.54,1014,23,SE,217,0,0
41552,2014,9,28,7,3,21,83.37,1014,24,SE,221,0,0
41553,2014,9,28,8,3,21,78.53,1014,25,SE,226,0,0
41554,2014,9,28,9,3,21,74.02,1014,26,SE,231,0,0
41556,2014,9,28,11,3,21,62.13,1013,29,SE,242,0,0
41557,2014,9,28,12,3,21,62.13,1012,29,SE,248,0,0
41559,2014,9,28,14,3,20,55.15,1011,30,SE,259,0,0
41560,2014,9,28,15,3,19,51.83,1010,30,SE,265,0,0
41561,2014,9,28,16,3,19,54.9,1010,29,SE,271,0,0
41562,2014,9,28,17,3,20,65.62,1010,27,SE,277,0,0
41563,2014,9,28,18,3,21,74.02,1011,26,SE,284,0,0
41564,2014,9,28,19,3,21,78.53,1011,25,SE,290,0,0
41565,2014,9,28,20,3,21,78.53,1012,25,SE,296,0,0
41566,2014,9,28,21,3,21,83.37,1011,24,SE,302,0,0
41567,2014,9,28,22,3,21,83.37,1011,24,SE,309,0,0
41568,2014,9,28,23,3,21,83.37,1010,24,SE,315,0,0
41570,2014,9,29,1,3,21,83.37,1010,24,SE,327,0,0
41571,2014,9,29,2,3,22,88.62,1009,24,SE,333,0,0
41572,2014,9,29,3,3,22,88.62,1008,24,SE,337,0,0
41573,2014,9,29,4,3,22,88.62,1008,24,SE,340,0,0
41574,2014,9,29,5,3,22,88.62,1008,24,SE,342,0,0
41575,2014,9,29,6,3,22,88.62,1008,24,SE,345,0,0
41576,2014,9,29,7,3,23,88.7,1009,25,SW,3,0,0
41578,2014,9,29,9,3,24,74.52,1009,29,SW,9,0,0
41579,2014,9,29,10,3,25,74.69,1009,30,SW,12,0,0
41580,2014,9,29,11,3,23,62.57,1009,31,NW,4,0,0
41581,2014,9,29,12,3,25,66.66,1009,32,NW,10,0,0
41583,2014,9,29,14,3,24,70.36,1008,30,NW,22,0,0
41584,2014,9,29,15,3,24,83.71,1009,27,NW,30,0,0
41585,2014,9,29,16,3,23,74.35,1009,28,NW,35,0,0
41586,2014,9,29,17,3,22,78.68,1010,26,NW,43,0,0
41587,2014,9,29,18,3,22,83.48,1011,25,NW,50,0,0
41588,2014,9,29,19,3,21,78.53,1011,25,NW,57,0,0
41590,2014,9,29,21,3,21,88.54,1013,23,NW,69,0,0
41591,2014,9,29,22,3,21,88.54,1014,23,NW,74,0,0
41592,2014,9,29,23,3,21,88.54,1014,23,NW,79,0,0
41593,2014,9,30,0,3,21,88.54,1014,23,NE,6,0,0
41594,2014,9,30,1,3,21,88.54,1014,23,NE,12,0,0
41595,2014,9,30,2,3,21,94.07,1014,22,NE,18,0.1,0.1
41596,2014,9,30,3,3,20,88.45,1014,22,NE,24,0,0
41597,2014,9,30,4,3,21,94.07,1014,22,NE,30,0,0
41598,2014,9,30,5,3,20,88.45,1015,22,NE,38,0,0
41599,2014,9,30,6,3,20,94.03,1016,21,NE,45,0.2,0.2
41600,2014,9,30,7,3,20,94.03,1016,21,NE,51,0.1,0.3
41602,2014,9,30,9,3,19,93.98,1018,20,NE,69,0.4,1.3
41603,2014,9,30,10,3,19,88.37,1018,21,NE,76,0,0
41604,2014,9,30,11,3,19,88.37,1019,21,NE,83,0,0
41605,2014,9,30,12,3,18,83.01,1018,21,NE,91,0,0
41606,2014,9,30,13,3,18,78.09,1018,22,NE,99,0,0
41607,2014,9,30,14,3,17,73.32,1018,22,NE,107,0,0
41608,2014,9,30,15,3,16,68.81,1017,22,NE,116,0,0
41609,2014,9,30,16,3,15,68.61,1018,21,NE,124,0,0
41610,2014,9,30,17,3,14,64.32,1018,21,NE,133,0,0
41611,2014,9,30,18,3,14,68.4,1019,20,NE,140,0,0
41612,2014,9,30,19,3,13,68.2,1019,19,NE,147,0,0
41614,2014,9,30,21,3,13,72.6,1020,18,NE,158,0,0
41615,2014,9,30,22,3,13,77.32,1020,17,NE,162,0,0
41616,2014,9,30,23,3,14,82.52,1019,17,NE,165,0,0
41617,2014,10,1,0,3,14,82.52,1019,17,NE,168,0,0
41619,2014,10,1,2,3,13,82.4,1018,16,NE,173,0,0
41620,2014,10,1,3,3,13,82.4,1018,16,NW,2,0,0
41621,2014,10,1,4,3,14,87.93,1018,16,NW,5,0,0
41622,2014,10,1,5,3,14,82.52,1018,17,NW,8,0,0
41623,2014,10,1,6,3,14,82.52,1018,17,NW,11,0,0
41624,2014,10,1,7,3,15,82.65,1018,18,NW,15,0,0
41627,2014,10,1,10,3,16,64.76,1018,23,NE,4,0,0
41628,2014,10,1,11,3,15,57.2,1017,24,NE,7,0,0
41629,2014,10,1,12,3,13,50.24,1016,24,NE,10,0,0
41630,2014,10,1,13,3,14,50.51,1015,25,NE,14,0,0
41631,2014,10,1,14,3,14,50.51,1014,25,NE,16,0,0
41633,2014,10,1,16,3,14,50.51,1014,25,NE,3,0,0
41635,2014,10,1,18,3,14,60.51,1014,22,NE,9,0,0
41636,2014,10,1,19,3,16,64.76,1015,23,NE,12,0,0
41637,2014,10,1,20,3,16,68.81,1015,22,SE,3,0,0
41638,2014,10,1,21,3,17,73.32,1015,22,SE,6,0,0
41639,2014,10,1,22,3,17,77.94,1015,21,SE,9,0,0
41640,2014,10,1,23,3,17,82.89,1014,20,SW,1,0,0
41641,2014,10,2,0,3,17,82.89,1014,20,SE,2,0,0
41642,2014,10,2,1,3,17,88.2,1013,19,SW,2,0,0
41643,2014,10,2,2,3,17,82.89,1012,20,SE,1,0,0
41644,2014,10,2,3,3,17,88.2,1012,19,NE,1,0,0
41645,2014,10,2,4,3,17,88.2,1012,19,SW,1,0,0
41646,2014,10,2,5,3,17,88.2,1012,19,cv,0,0,0
41647,2014,10,2,6,3,17,88.2,1013,19,cv,0,0,0
41649,2014,10,2,8,3,17,73.32,1013,22,NW,2,0,0
41650,2014,10,2,9,3,18,69.2,1013,24,NW,5,0,0
41651,2014,10,2,10,3,18,61.44,1013,26,NW,9,0,0
41652,2014,10,2,11,3,17,54.39,1012,27,NW,13,0,0
41653,2014,10,2,12,3,18,57.93,1011,27,NW,16,0,0
41654,2014,10,2,13,3,17,54.39,1010,27,NW,19,0,0
41655,2014,10,2,14,3,16,48.15,1010,28,NW,24,0,0
41656,2014,10,2,15,3,16,51.05,1010,27,NW,29,0,0
41657,2014,10,2,16,3,15,50.78,1010,26,NW,34,0,0
41658,2014,10,2,17,3,15,53.88,1011,25,NW,38,0,0
41659,2014,10,2,18,3,16,57.44,1011,25,NE,3,0,0
41660,2014,10,2,19,3,16,57.44,1012,25,NE,7,0,0
41661,2014,10,2,20,3,16,60.98,1013,24,NE,11,0,0
41662,2014,10,2,21,3,17,64.98,1013,24,NE,14,0,0
41663,2014,10,2,22,3,17,64.98,1013,24,SE,2,0,0
41664,2014,10,2,23,3,17,64.98,1013,24,SE,4,0,0
41666,2014,10,3,1,3,17,77.94,1013,21,NE,6,0,0
41667,2014,10,3,2,3,17,82.89,1013,20,NE,9,0,0
41668,2014,10,3,3,3,18,88.28,1013,20,NE,12,0,0
41669,2014,10,3,4,3,18,83.01,1013,21,NE,16,0,0
41670,2014,10,3,5,3,17,88.2,1013,19,NE,18,0,0
41671,2014,10,3,6,3,17,88.2,1014,19,NE,21,0,0
41672,2014,10,3,7,3,18,83.01,1015,21,NE,24,0,0
41673,2014,10,3,8,3,18,78.09,1015,22,NE,28,0,0
41674,2014,10,3,9,3,16,60.98,1016,24,NE,34,0,0
41675,2014,10,3,10,3,17,61.21,1016,25,NE,40,0,0
41676,2014,10,3,11,3,16,54.14,1015,26,NE,46,0,0
41677,2014,10,3,12,3,17,57.69,1015,26,NE,53,0,0
41678,2014,10,3,13,3,15,53.88,1014,25,NE,59,0,0
41679,2014,10,3,14,3,16,54.14,1014,26,NE,66,0,0
41680,2014,10,3,15,3,15,53.88,1014,25,NE,73,0,0
41681,2014,10,3,16,3,14,53.62,1015,24,NE,80,0,0
41682,2014,10,3,17,3,12,53.1,1015,22,NE,87,0,0
41683,2014,10,3,18,3,12,56.44,1016,21,NE,94,0,0
41684,2014,10,3,19,3,12,63.87,1016,19,NE,99,0,0
41685,2014,10,3,20,3,13,68.2,1017,19,NE,105,0,0
41686,2014,10,3,21,3,13,68.2,1016,19,NE,111,0,0
41687,2014,10,3,22,3,13,68.2,1017,19,NE,116,0,0
41688,2014,10,3,23,3,13,72.6,1016,18,NE,120,0,0
41689,2014,10,4,0,3,13,77.32,1016,17,NE,123,0,0
41690,2014,10,4,1,3,13,77.32,1016,17,NE,128,0,0
41691,2014,10,4,2,3,13,82.4,1016,16,NE,132,0,0
41692,2014,10,4,3,3,13,82.4,1016,16,NE,136,0,0
41693,2014,10,4,4,3,13,82.4,1015,16,NE,140,0,0
41694,2014,10,4,5,3,13,82.4,1016,16,NE,144,0,0
41695,2014,10,4,6,3,13,82.4,1017,16,NE,148,0,0
41696,2014,10,4,7,3,15,77.64,1017,19,NE,151,0,0
41697,2014,10,4,8,3,14,64.32,1017,21,NE,156,0,0
41698,2014,10,4,9,3,14,60.51,1017,22,NE,162,0,0
41699,2014,10,4,10,3,15,57.2,1017,24,NE,166,0,0
41700,2014,10,4,11,3,15,57.2,1017,24,NE,172,0,0
41701,2014,10,4,12,3,14,50.51,1016,25,NE,177,0,0
41702,2014,10,4,13,3,14,47.61,1016,26,NE,183,0,0
41703,2014,10,4,14,3,15,50.78,1015,26,NE,189,0,0
41704,2014,10,4,15,3,14,50.51,1016,25,NE,196,0,0
41705,2014,10,4,16,3,14,53.62,1016,24,NE,203,0,0
41706,2014,10,4,17,3,14,56.95,1016,23,NE,210,0,0
41707,2014,10,4,18,3,14,60.51,1017,22,NE,217,0,0
41708,2014,10,4,19,3,15,68.61,1017,21,NE,223,0,0
41709,2014,10,4,20,3,15,68.61,1018,21,NE,229,0,0
41710,2014,10,4,21,3,15,72.96,1018,20,NE,234,0,0
41711,2014,10,4,22,3,15,72.96,1018,20,NE,239,0,0
41712,2014,10,4,23,3,16,77.79,1018,20,NE,243,0,0
41713,2014,10,5,0,3,16,88.11,1018,18,NE,246,0,0
41714,2014,10,5,1,3,15,82.65,1018,18,NE,248,0,0
41715,2014,10,5,2,3,16,93.84,1017,17,NE,250,0,0
41716,2014,10,5,3,3,16,88.11,1017,18,NW,3,0,0
41717,2014,10,5,4,3,16,88.11,1017,18,NW,6,0,0
41718,2014,10,5,5,3,16,93.84,1017,17,NW,9,0,0
41719,2014,10,5,6,3,16,93.84,1017,17,NW,12,0,0
41720,2014,10,5,7,3,17,88.2,1018,19,NW,16,0,0
41721,2014,10,5,8,3,18,83.01,1018,21,NW,20,0,0
41722,2014,10,5,9,3,17,69.01,1019,23,NE,7,0,0
41723,2014,10,5,10,3,16,60.98,1019,24,NE,14,0,0
41724,2014,10,5,11,3,16,57.44,1018,25,NE,21,0,0
41725,2014,10,5,12,3,16,54.14,1018,26,NE,28,0,0
41726,2014,10,5,13,3,16,54.14,1017,26,NE,35,0,0
41727,2014,10,5,14,3,15,50.78,1017,26,NE,42,0,0
41728,2014,10,5,15,3,16,54.14,1017,26,NE,49,0,0
41729,2014,10,5,16,3,16,57.44,1017,25,NE,57,0,0
41730,2014,10,5,17,3,16,64.76,1018,23,NE,64,0,0
41731,2014,10,5,18,3,16,68.81,1018,22,NE,71,0,0
41732,2014,10,5,19,3,16,73.14,1019,21,NE,77,0,0
41733,2014,10,5,20,3,16,73.14,1020,21,NE,82,0,0
41734,2014,10,5,21,3,16,77.79,1020,20,NE,88,0,0
41735,2014,10,5,22,3,16,77.79,1020,20,NE,93,0,0
41736,2014,10,5,23,3,16,82.77,1020,19,NE,97,0,0
41737,2014,10,6,0,3,16,82.77,1020,19,NE,101,0,0
41738,2014,10,6,1,3,16,88.11,1020,18,NE,104,0,0
41739,2014,10,6,2,3,16,88.11,1020,18,NW,3,0,0
41740,2014,10,6,3,3,16,88.11,1019,18,NW,7,0,0
41741,2014,10,6,4,3,16,88.11,1019,18,NW,11,0,0
41742,2014,10,6,5,3,16,88.11,1020,18,NW,16,0,0
41743,2014,10,6,6,3,16,93.84,1020,17,NW,20,0,0
41744,2014,10,6,7,3,16,82.77,1021,19,NE,4,0,0
41745,2014,10,6,8,3,14,68.4,1022,20,NE,10,0,0
41746,2014,10,6,9,3,13,56.69,1022,22,NE,17,0,0
41747,2014,10,6,10,3,10,43.76,1022,23,NE,25,0,0
41748,2014,10,6,11,3,12,47.05,1022,24,NE,32,0,0
41749,2014,10,6,12,3,12,47.05,1022,24,NE,38,0,0
41750,2014,10,6,13,3,9,38.53,1021,24,NE,46,0,0
41751,2014,10,6,14,3,9,38.53,1021,24,NE,53,0,0
41752,2014,10,6,15,3,9,40.92,1020,23,NE,59,0,0
41753,2014,10,6,16,3,12,49.97,1021,23,NE,65,0,0
41754,2014,10,6,17,3,12,56.44,1021,21,NE,71,0,0
41755,2014,10,6,18,3,12,60.03,1021,20,NE,78,0,0
41756,2014,10,6,19,3,11,56.19,1021,20,NE,84,0,0
41757,2014,10,6,20,3,12,60.03,1022,20,NE,90,0,0
41758,2014,10,6,21,3,12,60.03,1022,20,NE,95,0,0
41759,2014,10,6,22,3,12,63.87,1022,19,NE,99,0,0
41760,2014,10,6,23,3,13,82.4,1022,16,NE,102,0,0
41762,2014,10,7,1,3,12,77.17,1022,16,NW,6,0,0
41763,2014,10,7,2,3,13,87.84,1021,15,NW,9,0,0
41764,2014,10,7,3,3,12,82.27,1021,15,NE,2,0,0
41765,2014,10,7,4,3,13,87.84,1021,15,NE,4,0,0
41766,2014,10,7,5,3,13,87.84,1021,15,NE,6,0,0
41767,2014,10,7,6,3,13,87.84,1021,15,NW,2,0,0
41768,2014,10,7,7,3,15,88.02,1022,17,NW,5,0,0
41769,2014,10,7,8,3,15,72.96,1022,20,NE,2,0,0
41770,2014,10,7,9,3,13,56.69,1022,22,NE,6,0,0
41771,2014,10,7,10,3,12,49.97,1022,23,NE,10,0,0
41772,2014,10,7,11,3,10,43.76,1022,23,NE,15,0,0
41773,2014,10,7,12,3,12,49.97,1021,23,NE,18,0,0
41774,2014,10,7,13,3,10,41.2,1021,24,NE,23,0,0
